,tasty,name,price,target,category,coffee
22,은은한&화사한,"LIGHT,LIGHTER 에티오피아 보타바 워시드","19,000원
180g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', '시다모']"
23,상큼&깔끔한,밀밭,"8,900원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '라이트 미디엄 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['YUNNAN', 'ETHIOPIA', 'COLOMBIA', 'KENYA']"
24,달콤&스모키,고독,"7,800원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅', '공정 무역']","['에스프레소머신', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['EL SALVADOR', 'COSTARICA', 'BRZIL', 'INDIA']"
25,고소&부드러운,길들인다,"7,800원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅', '공정 무역']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['브라질', '브라질']"
26,쌉쌀&달콤,콜롬비아 슈가케인 디카페인,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '다크 로스팅']","['에스프레소머신', '커피메이커', '블랙 그대로']","['콜롬비아', '후일라 (Huila)', '카투라(Caturra), 카스티죠 (Castillo )']"
27,밸런스&견과류,콜롬비아 모틸론,"9,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '에스프레소머신', '블랙 그대로']","['콜롬비아', '노르테 데 산탄데르 (Norte de Santander)', 'Norte de Santander', '티피카 (Typica)']"
28,고소&묵직한,브라질 헤크레이오 옐로우 이카투 워시드,"14,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['브라질', '헤크레이오', '미나스 제라이스, 상파울루, 에스피리토 산토', 'Icatu']"
29,과일&풍부한,케냐 키린야가 카이나무이 AA TOP,"14,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['케냐', '키린야가', 'Ruiru11, Batian, SL28']"
30,깔끔한&상큼,케냐 기티투 AB,"15,000원
250g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['케냐', '키암부', 'SL28, SL34, Ruiru11']"
31,과일&꽃향기,마젠타 블렌드,"11,800원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['에티오피아 콩가 내추럴', '콜롬비아 수프리모 톨리마']"
32,쌉쌀&묵직한,블랙 블렌드,"13,800원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['케냐 붕고마', '케냐 AA TOP 니에리', '브라질 옐로우버번', '과테말라 안티구아', '콜롬비아 수프리모 톨리마']"
33,견과류&초콜릿,그레이 블렌드,"9,600원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['과테말라 라고 아티틀란', '브라질 세하도 아라샤', '콜롬비아 후일라 라 칸델라리아']"
